5	436405
17	357875
17	214023
17	317448
17	319987
17	334185
17	95255
17	294124
17	96319
17	610127
24	251778
24	436906
24	623227
24	287885
35	247215
35	618899
53	159598
53	603894
53	586607
53	471174
53	87254
53	302739
53	449562
55	231782
56	207703
56	362949
56	357613
56	226571
56	298457
56	524926
56	589662
56	164845
56	157761
74	175561
74	466542
74	287761
74	99782
74	287658
74	520431
74	235382
74	291592
74	83969
79	625569
79	612358
94	478628
110	263156
110	599893
110	183240
110	91558
112	294728
113	320093
113	378077
113	120285
113	312300
146	162102
146	280855
146	283687
146	317427
158	559556
158	334668
158	563211
158	526173
158	167394
158	35639
158	255912
158	153456
188	252542
188	620765
188	479177
188	526761
188	229188
188	454029
192	531457
198	89531
225	437914
225	300194
225	100279
225	446382
225	448143
225	463765
225	121991
225	433737
225	280201
225	293160
225	292888
225	466472
225	592521
225	120985
225	437328
225	434440
225	619911
230	74993
230	461334
245	284238
245	208186
245	312919
249	14359
249	335595
249	548634
249	553444
249	320992
249	551447
249	6852
249	323836
256	83011
256	563785
259	165131
259	462754
259	620023
267	80056
289	561772
289	321452
289	158918
289	438721
289	445055
296	439189
296	623280
298	22929
298	27075
298	118498
298	246511
298	616519
301	230643
301	104541
301	86317
301	441781
301	433428
301	248941
302	332008
302	478674
302	317091
302	288417
302	333399
302	293915
302	75231
302	486540
302	511616
302	270085
302	482110
302	266864
302	120076
302	222206
302	593952
302	474856
302	464393
305	573588
305	294562
305	559946
305	230471
305	482108
305	532523
305	288790
305	100778
305	97515
305	301944
305	295637
305	155555
329	318647
329	438266
329	326633
329	288511
329	292137
329	446552
329	286091
329	445659
329	602516
329	211289
329	595891
329	440852
329	435199
329	320638
329	101560
329	79232
329	222292
329	305006
334	241477
334	110978
334	565733
334	246736
346	164845
346	244656
349	111521
349	273414
349	364307
355	575258
355	586947
355	592683
356	17182
356	106816
356	250658
356	297124
374	602146
374	621316
374	91546
374	372639
378	249468
379	94123
379	117240
379	594049
379	568745
379	287478
379	483276
382	606613
382	446676
382	561556
382	308642
382	290517
382	454046
382	326485
382	92579
382	160527
