0	1
0	2
0	11
1	3
1	5
1	7
1	8
1	11
2	3
2	5
2	6
2	9
2	11
3	4
3	5
3	8
3	9
3	11
4	6
4	9
4	10
4	37
5	8
5	9
5	24
6	9
6	10
6	11
8	9
8	10
8	11
9	11
10	37
12	13
12	16
12	17
12	18
12	19
12	20
13	15
13	16
13	17
13	18
14	15
14	16
14	17
14	19
14	20
14	40
15	16
15	17
15	18
15	19
15	40
16	18
17	19
17	40
18	19
18	20
18	37
19	20
19	31
20	37
21	22
21	23
21	24
21	25
21	37
22	23
22	24
22	25
22	39
23	24
23	25
23	37
24	25
25	39
26	27
26	28
26	29
26	30
26	37
26	38
27	28
27	29
27	30
27	38
28	29
28	30
29	30
29	37
31	32
31	33
31	36
32	33
32	34
32	35
32	36
33	34
33	35
33	36
34	35
34	36
35	36
36	37
36	38
37	38
